City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,iwaki,37.05,140.8833,19.87,95,100,2.44,JP,1717952862
173,daru,-9.0763,143.2092,25.89,87,97,7.62,PG,1717952866
174,alice springs,-23.7,133.8833,5.75,93,0,2.57,AU,1717952867
175,kavarna,43.4333,28.3333,24.6,78,49,3.81,BG,1717952868
176,haiku-pauwela,20.9219,-156.3051,24.47,79,0,7.72,US,1717952868
177,hampstead,42.8745,-71.1812,14.19,88,100,1.54,US,1717952869
178,usinsk,65.9939,57.5281,7.26,92,100,5.81,RU,1717952870
179,launceston,-41.45,147.1667,3.97,93,6,0.51,AU,1717952870
180,barabai,-2.5833,115.3833,25.31,88,92,0.35,ID,1717952871
181,berdigestyakh,62.0989,126.6992,11.18,43,25,1.75,RU,1717952872
182,storm lake,42.6411,-95.2097,25.25,23,0,6.17,US,1717952649
183,gornyye klyuchi,45.25,133.5,13.46,99,100,2.08,RU,1717952873
184,bodaybo,57.8506,114.1933,8.17,87,7,0.98,RU,1717952874
185,kapuskasing,49.4169,-82.4331,6.49,96,100,4.63,CA,1717952875
186,bako,5.7833,36.5667,17.73,91,39,1.72,ET,1717952875
187,liperi,62.5333,29.3667,14.26,72,100,7.2,FI,1717952876
188,remire-montjoly,4.9167,-52.2667,30.02,74,25,2.06,GF,1717952876
189,sudislavl',57.8817,41.7083,15.61,70,80,1.64,RU,1717952877
190,praya,14.9215,-23.5087,28.3,54,20,8.23,CV,1717952878
191,touros,-5.1989,-35.4608,28.09,75,67,7.24,BR,1717952733
192,bure,10.7,37.0667,17.35,79,77,2.31,ET,1717952879
193,saraqib,35.8645,36.8059,27.53,44,62,6.82,SY,1717952880
194,queenstown,-31.8976,26.8753,10.86,49,0,2.61,ZA,1717952709
195,nemuro,43.3236,145.575,9.96,95,100,6.26,JP,1717952881
196,kerikeri,-35.2268,173.9474,17.73,94,100,3.13,NZ,1717952882
197,i-n-salah,27.1935,2.4607,44.7,8,85,6.31,DZ,1717952883
198,badger,64.8,-147.5333,20.6,49,100,2.57,US,1717952883
199,zhanaozen,43.3,52.8,28.75,31,22,0.72,KZ,1717952884
200,klyuchi,52.2667,79.1667,18.0,67,64,3.94,RU,1717952885
201,san matias,-16.3667,-58.4,35.93,22,25,4.5,BO,1717952885
202,okhotsk,59.3833,143.3,3.27,92,0,2.36,RU,1717952886
203,dzhalagash,45.0833,64.6667,28.06,27,1,4.43,KZ,1717952887
204,petropavlovsk-kamchatsky,53.0452,158.6483,10.25,63,96,6.26,RU,1717952887
205,tahe,52.3333,124.7333,11.06,51,90,1.26,CN,1717952712
206,katsuren-haebaru,26.3369,127.8719,24.43,96,75,3.09,JP,1717952889
207,tazovsky,67.4667,78.7,1.91,81,65,2.64,RU,1717952890
208,balkanabat,39.5108,54.3671,33.57,22,43,2.54,TM,1717952890
209,rumoi,43.9344,141.6428,15.91,95,100,4.86,JP,1717952891
210,beykonak,36.3257,30.303,26.88,63,0,3.68,TR,1717952891
211,nova sintra,14.8667,-24.7167,23.51,81,0,7.95,CV,1717952892
212,kununurra,-15.7667,128.7333,12.99,88,49,0.51,AU,1717952688
213,sundargarh,22.1167,84.0333,35.91,32,30,2.67,IN,1717952893
214,tlahualilo de zaragoza,26.1167,-103.45,31.47,24,11,2.76,MX,1717952894
215,benguela,-12.5763,13.4055,23.38,85,29,3.37,AO,1717952895
216,san patricio,28.017,-97.5169,34.74,43,3,5.67,US,1717952895
217,langepas,61.2544,75.2124,15.04,45,4,1.22,RU,1717952896
218,nampula,-15.1165,39.2666,17.96,86,91,3.98,MZ,1717952897
219,santiago de cao,-7.9589,-79.2392,18.07,82,100,4.63,PE,1717952897
220,novodvinsk,64.4165,40.8122,14.88,47,54,2.7,RU,1717952898
221,mil'kovo,55.6078,37.7956,21.84,66,87,2.29,RU,1717952899
222,havre,49.5833,0.3333,16.86,63,0,4.63,FR,1717952899
223,chonchi,-42.6128,-73.8092,11.76,82,93,3.1,CL,1717952900
224,greymouth,-42.4667,171.2,13.78,95,100,4.82,NZ,1717952901
225,maqat,47.65,53.3167,29.65,30,29,4.65,KZ,1717952901
226,klaksvik,62.2266,-6.589,7.51,86,100,10.9,FO,1717952902
227,ponta delgada,37.7333,-25.6667,20.4,73,40,6.17,PT,1717952903
228,al marj,32.488,20.8317,24.34,41,0,4.49,LY,1717952830
